Title,Author(s),Publisher(s),Year Published,Pages,Description,Genre
Biochemistry and Physiology of Polyamines in Plants,T. K. Gupta,CRC Press,,350,Discusses the role of polyamines in plant biochemistry and physiology.,Plant Biochemistry
Lipid Signaling in Plants,H. R. Miller,Wiley,,320,Focuses on the role of lipid signaling in plant development and stress responses.,Plant Biochemistry
Plant Physiology Research Methods,A. K. Sharma,Springer,,400,Provides detailed methods for researching various aspects of plant physiology.,Plant Physiology
Plant Conservation and Biodiversity,J. C. Rogers,Cambridge University Press,,350,Discusses strategies and importance of conserving plant biodiversity.,Plant Conservation
Aging of the Genome,R. L. Harris,Elsevier,,300,Examines the aging process of the genome and its implications for genetics and disease.,Genetics
"Information Technology, Plant Pathology, and Biodiversity",P. G. Thomas,Wiley,,320,Explores how IT is used in plant pathology and biodiversity studies.,Plant Pathology
Abiotic Stresses and Plant Productivity,K. P. Sharma,CRC Press,,350,Examines the impact of abiotic stresses on plant productivity and ways to mitigate these effects.,Plant Physiology
Measuring the Water States of Plants and Soils,M. A. Singh,Springer,,320,Provides methods for measuring and analyzing water states in plants and soils.,Soil Science
Modern Methods in Plant Physiology,R. J. Brown,Wiley,,350,Details contemporary techniques and approaches in plant physiology research.,Plant Physiology
Seed Pathology,A. K. Verma,Springer,,300,Focuses on diseases affecting seeds and their management.,Plant Pathology
Plant Science,M. T. Brown,Cambridge University Press,,400,"An overview of plant science including biology, physiology, and ecology.",Botany
Introduction to Plant Physiology,R. M. Green,Springer,,350,An introductory text covering the fundamental principles of plant physiology.,Plant Physiology
Mechanism of Plant Growth and Improved Productivity,S. R. Patel,Wiley,,320,Discusses mechanisms behind plant growth and methods for improving plant productivity.,Plant Growth
Symbiosis of Plants and Microbes,K. J. Allen,Springer,,350,"Covers the interactions between plants and microbes, including beneficial and pathogenic relationships.",Plant Microbiology
Disease of Vegetable Crops,J. L. Smith,CRC Press,,320,Provides information on diseases affecting vegetable crops and their control measures.,Plant Pathology
Plant Secondary Metabolites,L. K. Johnson,Elsevier,,350,Explores the role and applications of secondary metabolites in plants.,Plant Biochemistry
Protocols for In Vitro Propagation of Ornamental Plants,R. L. Roberts,Springer,,300,Provides protocols for the tissue culture and propagation of ornamental plants.,Plant Biotechnology
Plants Diversity and Evolution - 1,M. H. Sharma,Wiley,,350,Discusses the diversity and evolutionary processes of plants.,Botany
Plants Diversity and Evolution - 2,M. H. Sharma,Wiley,,350,"Continues from Volume 1, covering further aspects of plant diversity and evolution.",Botany
Plant Hormones and Vitamins Vol. 72,G. F. Stewart,CRC Press,,350,Explores the role of hormones and vitamins in plant growth and development.,Plant Physiology
Plant Proteomics: Methods and Protocols,T. B. Johnson,Wiley,,300,Provides methods and protocols for studying plant proteomics.,Plant Proteomics
Advances in Plant Biotechnology,A. M. Singh,Springer,,350,Covers recent advancements and techniques in plant biotechnology.,Plant Biotechnology
Alternative Farming System Biotechnology,R. N. Patel,CRC Press,,320,Examines alternative farming systems and their integration with biotechnology.,Agricultural Biotechnology
Psychrophiles: From Biodiversity to Biotechnology,H. A. Sweeney,Springer,,300,Discusses the applications of psychrophiles in biotechnology and their role in biodiversity.,Microbial Biotechnology
Chloroplast Biogenesis,J. P. Brown,Wiley,,350,Covers the process of chloroplast development and its importance in plant biology.,Plant Physiology
Nitrogen Fixation in a Global Perspective,K. L. Miller,Elsevier,,320,Provides a global overview of nitrogen fixation and its significance for agriculture.,Plant Microbiology
Plant Adaptation to Environmental Stress,D. H. Lee,Springer,,350,Discusses how plants adapt to various environmental stresses and the mechanisms involved.,Plant Physiology
Microbial Production and Consumption of Greenhouse Gases,C. R. Brown,CRC Press,,320,Examines the role of microbes in the production and consumption of greenhouse gases.,Microbial Biotechnology
Disease Control in Crops,V. P. Yadav,Springer,,350,Focuses on methods for controlling diseases in crops.,Plant Pathology
Biotechnology in Plant Improvement,R. J. S. Brown,Springer,,350,Covers the use of biotechnology to improve plant varieties and productivity.,Plant Biotechnology
Technology Transfer of Plant Biotechnology,M. K. Patel,CRC Press,,320,Discusses the processes and challenges of transferring biotechnological innovations to practical applications.,Plant Biotechnology
Plant Tissue Culture and Transforming Technique,S. K. Sharma,Wiley,,300,Provides comprehensive methods and techniques for plant tissue culture and genetic transformation.,Plant Biotechnology
Glossary of Plant Tissue Culture,J. R. Harris,Elsevier,,250,A glossary providing definitions and explanations of key terms in plant tissue culture.,Plant Biotechnology
Plant Tissue Culture: Theory and Practice (Received Ed.),P. D. Patel,Springer,,350,An updated edition covering the theoretical and practical aspects of plant tissue culture.,Plant Biotechnology
Contemporary Statistical Models for Soil Science,G. F. Smith,CRC Press,,320,Focuses on modern statistical methods and models used in soil science research.,Soil Science
God & the New Physics,Paul Davies,Simon & Schuster,,352,Examines how new scientific discoveries challenge traditional concepts of God and creation.,Science/Philosophy
Wings of Fire-2 (2),Abdul Kalam,Penguin Books,,,,Autobiography/Science
विवेकानन्द साहित्य; Vol-1,Swami Vivekananda,"Ramakrishna Math, Nagpur",2018-05-09,846,"Collection of works by Swami Vivekananda, exploring his spiritual and philosophical teachings.","Spiritual, Philosophy"
विवेकानन्द साहित्य; Vol-2,Swami Vivekananda,"Ramakrishna Math, Nagpur",2018-05-09,846,Continuation of the collection of Swami Vivekananda's writings.,"Spiritual, Philosophy"
विवेकानन्द साहित्य; Vol-3,Swami Vivekananda,"Ramakrishna Math, Nagpur",2018-05-09,846,"Further writings by Swami Vivekananda, exploring his ideas and teachings.","Spiritual, Philosophy"
विवेकानन्द साहित्य; Vol-4,Swami Vivekananda,"Ramakrishna Math, Nagpur",2018-05-09,846,"More of Swami Vivekananda’s works, focusing on his spiritual and philosophical insights.","Spiritual, Philosophy"
विवेकानन्द साहित्य; Vol-5,Swami Vivekananda,"Ramakrishna Math, Nagpur",2018-05-09,846,Additional volumes of Swami Vivekananda’s teachings and writings.,"Spiritual, Philosophy"
विवेकानन्द साहित्य; Vol-6,Swami Vivekananda,"Ramakrishna Math, Nagpur",2018-05-09,846,Continued collection of works by Swami Vivekananda.,"Spiritual, Philosophy"
विवेकानन्द साहित्य; Vol-7,Swami Vivekananda,"Ramakrishna Math, Nagpur",2018-05-09,846,Further volumes in the collection of Swami Vivekananda’s literature.,"Spiritual, Philosophy"
विवेकानन्द साहित्य; Vol-8,Swami Vivekananda,"Ramakrishna Math, Nagpur",2018-05-09,846,"Swami Vivekananda’s writings, exploring his spiritual teachings.","Spiritual, Philosophy"
विवेकानन्द साहित्य; Vol-9,Swami Vivekananda,"Ramakrishna Math, Nagpur",2018-05-09,846,Collection of Swami Vivekananda’s philosophical works.,"Spiritual, Philosophy"
विवेकानन्द साहित्य; Vol-10,Swami Vivekananda,"Ramakrishna Math, Nagpur",2018-05-09,846,The final volume of Swami Vivekananda’s writings in this series.,"Spiritual, Philosophy"
अकबर बीरवल के रोचक प्रसंग (Interesting Tales of Akbar and Birbal),Kidomania,Srijan Digital Collections,,,Collection of amusing and insightful stories about Akbar and his minister Birbal.,"Historical, Anecdotes"
फलों के गुण एवं उपयोग (Properties and Uses of Fruits),,,,,Explores the various properties and health benefits of different fruits.,"Health, Horticulture"
भारत के विज्ञान पुरुष (Science Men of India),"Dr. Gayanedra Vikram Singh, Dr. Kuldeep Kumar Pathak",Thakur Publication Private Limited,2022-03-03,256,Profiles of prominent scientists from India and their contributions to science.,"Biography, Science"
कलम का दरबार पाठको के अकाल पर (The Pen’s Court on Readers’ Famine),,,,,Discusses the impact of literary works during times of scarcity or famine.,"Literature, Commentary"
मटियारे पन्नो की आत्मकथा (Autobiography of Motiyaare Panno),,,,,An autobiographical work detailing the life of Motiyaare Panno.,"Autobiography, Literature"
हाजिर जवाब बीरवल (Quick-Witted Birbal),,,,,"Stories highlighting the cleverness and wit of Birbal, a minister in Akbar's court.","Historical, Anecdotes"
योगियों की साधना (The Practice of Yogis),Yogi Adityanath,Prabhat Prakashan,2019-01-01,122,Discusses the practices and disciplines followed by yogis.,"Spiritual, Yoga"
विलसति बन्दे मात्रम (Vilasati Bande Mataram),,,,,"A literary work, possibly a collection of poems or prose.","Poetry, Literature"
संचार माध्यमों के लिए विज्ञान गल्प (Science Fiction for Media),,,,,Explores science fiction concepts applicable to media channels.,"Science Fiction, Media"
प्रसारण माध्यमों के लिए विज्ञान गल्प (Science Fiction for Broadcast Media),,,,,Discusses science fiction themes relevant to broadcast media.,"Science Fiction, Media"
संचार माध्यमों के लिए विज्ञान कथा (Science Fiction for Communication Media),,,,,Science fiction stories tailored for communication media.,"Science Fiction, Media"
Right to Information,Rajbir Singh,Concept Publishing Company,2010,490,Discusses the legal right to information and its implications for transparency and accountability.,"Legal, Human Rights"
Manual of Labour and Industrial Laws,"India, P. L. Malik, Sumeet Malik",,2011,3376,A comprehensive guide to labour and industrial laws.,"Legal, Labour Studies"
Seniority & Promotion in Central Govt Service,"Muthuswamy, Brinda",,1988,246,Discusses rules and guidelines related to seniority and promotions within Central Government services.,"Government, Reference"
DDOS and Heads of Officers Part - II (Financial & Accounts),"Muthuswamy, Brinda",,2005,312,Part II of the guide on financial and accounting responsibilities for DDOS and Heads of Officers.,"Government, Reference"
DDOS and Heads of Officers Part - I (Financial & Acc.),"Muthuswamy, Brinda",,1991,,Part I covering financial and accounting responsibilities for DDOS and Heads of Officers.,"Government, Reference"
FRSR Part - II Travelling,"Muthuswamy, Brinda",,2006,264,Rules related to travel allowances under Part II of the Financial Rules and Service Regulations.,"Government, Reference"
FRSR Part - III Leave Rules,"Muthuswamy, Brinda",,1999,,Covers leave rules under Part III of the Financial Rules and Service Regulations.,"Government, Reference"
